polymer,chain_length,temperature,density [kg/m3],diff [nm2/ns],r_ee [nm],E_pot (kJ/mol),diff [nm2/ns],diff_err [nm2/ns],diff [cm2/s],diff_err [cm2/s],diff_PE [cm2/s],diff_normalized,E_sing [kJ/mol],E_sing_err,n_mol,L [nm],L [m],V [m3],CED [kPa],CED [MPa],CED_PE [MPa],CED_normalized,H_vap [kJ],H_vap_PE [kJ],H_vap_normalized,MW,crystallization_temp,latent_heat_crystallization,aligned_fraction
Acetal-linked,20,373,799.89,1.27,1.82,-16544.46,8.50E-01,6.00E-02,8.50E-06,6.00E-07,2.57E-07,2.33E+00,23.6296,0.041,200,5.15161,5.15E-09,1.37E-25,2.01E+05,2.01E+02,112.6904398,1.78E+00,109.453022,97.651922,1.12084862,328,269.9,809.79,0.011
Acetal-linked,40,373,804.99,0.42,2.87,-12142.33,2.22E-01,3.90E-03,2.22E-06,3.90E-08,7.30E-08,5.34E-01,55.0083,0.092,100,5.00152,5.00E-09,1.25E-25,1.61E+05,1.61E+02,111.2142288,1.45E+00,179.532722,169.959722,1.05632511,608,265.8,797.3,0.011
Acetal-linked,60,373,809.84,0.34,3.65,-17273.04,1.11E-01,7.20E-03,1.11E-06,7.20E-08,1.70E-08,4.24E+00,57.1078,0.14,100,5.66898,5.67E-09,1.82E-25,1.58E+05,1.58E+02,115.3264556,1.37E+00,232.939322,227.519922,1.023819453,888,262.2,786.66,0.011
Acetal-linked,80,373,809.96,0.18,4.26,-21133.15,1.05E-01,4.00E-03,1.05E-06,4.00E-08,1.00E-08,4.00E+00,60.7206,0.26,100,6.22172,6.22E-09,2.41E-25,1.46E+05,1.46E+02,113.8638085,1.28E+00,275.153222,272.856622,1.008416875,1168,279.4,838.06,0.014
Amide-linked,20,373,835.86,0.61,2.01,-42720.8,2.80E-01,6.60E-03,2.80E-06,6.60E-08,2.57E-07,2.57E-01,-74.4345,0.08,200,5.6454,5.65E-09,1.80E-25,3.94E+05,3.94E+02,112.6904398,3.50E+00,142.270622,97.651922,1.456915738,452,273.8,821.35,0.013
Amide-linked,40,373,827.41,0.28,2.92,-22161.55,1.25E-01,7.40E-03,1.25E-06,7.40E-08,7.30E-08,1.01E+00,-21.0833,0.21,100,5.29079,5.29E-09,1.48E-25,2.49E+05,2.49E+02,111.2142288,2.24E+00,203.633322,169.959722,1.198126942,732,277.3,831.97,0.013
Amide-linked,60,373,822.07,0.2,3.71,-26612.75,8.07E-02,2.00E-04,8.07E-07,2.00E-09,1.70E-08,1.18E-01,-17.1389,0.32,100,5.90288,5.90E-09,2.06E-25,2.15E+05,2.15E+02,115.3264556,1.87E+00,252.089722,227.519922,1.107989664,1012,281.9,845.66,0.014
Amide-linked,80,373,821.74,0.1,4.27,-32125.53,5.41E-02,1.80E-03,5.41E-07,1.80E-08,1.00E-08,1.80E+00,-24.9371,0.14,100,6.39636,6.40E-09,2.62E-25,2.04E+05,2.04E+02,113.8638085,1.79E+00,299.419322,272.856622,1.097350395,1292,284.3,852.98,0.015
Anhydride-linked,20,373,828.53,1.06,1.61,-17652.17,4.79E-01,3.21E-02,4.79E-06,3.21E-07,2.57E-07,1.25E+00,21.5168,0.08,200,5.20049,5.20E-09,1.41E-25,2.09E+05,2.09E+02,112.6904398,1.85E+00,112.878772,97.651922,1.155929855,354,288.7,866.11,0.015
Anhydride-linked,40,373,821.84,0.47,2.62,-12734.04,1.93E-01,5.00E-04,1.93E-06,5.00E-09,7.30E-08,6.85E-02,48.948,0.075,100,5.04678,5.05E-09,1.29E-25,1.65E+05,1.65E+02,111.2142288,1.48E+00,179.389522,169.959722,1.055482557,634,294.8,884.36,0.017
Anhydride-linked,60,373,820.56,0.23,3.44,-16351.44,1.04E-01,9.00E-04,1.04E-06,9.00E-09,1.70E-08,5.29E-01,68.5939,0.051,100,5.70844,5.71E-09,1.86E-25,1.46E+05,1.46E+02,115.3264556,1.27E+00,235.209422,227.519922,1.03379704,914,296.8,890.33,0.017
Anhydride-linked,80,373,818.21,0.14,4.06,-22571.19,6.73E-02,8.00E-04,6.73E-07,8.00E-09,1.00E-08,8.00E-01,50.7877,0.3,100,6.23674,6.24E-09,2.43E-25,1.55E+05,1.55E+02,113.8638085,1.36E+00,279.600722,272.856622,1.024716644,1194,294,881.87,0.016
Aromatic Ester-linked,20,373,962.26,0.2,2.66,-24849.43,8.04E-02,6.80E-03,8.04E-07,6.80E-08,2.57E-07,2.65E-01,56.5951,0.28,200,5.86347,5.86E-09,2.02E-25,2.05E+05,2.05E+02,112.6904398,1.82E+00,183.943372,97.651922,1.883663611,582,269.2,807.73,0.011
Aromatic Ester-linked,40,373,907.04,0.16,3.55,-18514.93,4.28E-02,3.40E-03,4.28E-07,3.40E-08,7.30E-08,4.66E-01,53.4671,0.43,100,5.40678,5.41E-09,1.58E-25,1.95E+05,1.95E+02,111.2142288,1.75E+00,241.717522,169.959722,1.422204739,862,268.1,804.24,0.012
Aromatic Ester-linked,60,373,883.17,0.1,4.19,-21721.29,3.79E-02,2.50E-03,3.79E-07,2.50E-08,1.70E-08,1.47E+00,64.5335,0.17,100,5.99364,5.99E-09,2.15E-25,1.68E+05,1.68E+02,115.3264556,1.45E+00,284.847522,227.519922,1.251967386,1142,269.6,808.88,0.01
Aromatic Ester-linked,80,373,867.17,0.08,4.8,-26381.54,3.17E-02,4.20E-03,3.17E-07,4.20E-08,1.00E-08,4.20E+00,63.3344,0.27,100,6.47347,6.47E-09,2.71E-25,1.62E+05,1.62E+02,113.8638085,1.42E+00,330.250922,272.856622,1.210346004,1422,271.8,815.44,0.013
Polyethylene,20,373,746.19,1.97,1.71,-8548.16,1.14E+00,2.57E-02,1.14E-05,2.57E-07,2.57E-07,1.00E+00,51.81,0.01,200,5.01,5.01E-09,1.26E-25,1.13E+05,1.13E+02,112.6904398,1.00E+00,97.651922,97.651922,1,282,274,821.97,0.013
Polyethylene,40,373,778.68,0.5,2.81,-8081.86,2.93E-01,7.30E-03,2.93E-06,7.30E-08,7.30E-08,1.00E+00,86.04,0.15,100,4.94,4.94E-09,1.21E-25,1.11E+05,1.11E+02,111.2142288,1.00E+00,169.959722,169.959722,1,562,282.9,848.76,0.015
Polyethylene,60,373,791.86,0.3,3.64,-12265.98,1.38E-01,1.70E-03,1.38E-06,1.70E-08,1.70E-08,1.00E+00,101.759,0.2,100,5.61,5.61E-09,1.77E-25,1.15E+05,1.15E+02,115.3264556,1.00E+00,227.519922,227.519922,1,842,283.5,850.35,0.015
Polyethylene,80,373,797.69,0.17,4.31,-16074.55,9.69E-02,1.00E-03,9.69E-07,1.00E-08,1.00E-08,1.00E+00,109.01,0.47,100,6.17,6.17E-09,2.35E-25,1.14E+05,1.14E+02,113.8638085,1.00E+00,272.856622,272.856622,1,1122,297.6,892.94,0.016
Carbonate-linked,20,373,833.07,1.12,1.82,-26588.43,5.37E-01,2.95E-02,5.37E-06,2.95E-07,2.57E-07,1.15E+00,-19.74,0.11,200,5.15,5.15E-09,1.36E-25,3.24E+05,3.24E+02,112.6904398,2.88E+00,116.303272,97.651922,1.190998289,342,291.7,875.04,0.018
Carbonate-linked,40,373,823.71,0.52,2.83,-17310.46,2.42E-01,6.60E-03,2.42E-06,6.60E-08,7.30E-08,9.04E-01,3.36,0.21,100,5.02,5.02E-09,1.26E-25,2.28E+05,2.28E+02,111.2142288,2.05E+00,179.565722,169.959722,1.056519273,622,268.5,805.44,0.012
Carbonate-linked,60,373,821.61,0.25,3.67,-21724.1,1.04E-01,6.90E-03,1.04E-06,6.90E-08,1.70E-08,4.06E+00,18.13,0.18,100,5.66,5.66E-09,1.81E-25,1.99E+05,1.99E+02,115.3264556,1.73E+00,238.472122,227.519922,1.048137323,902,262.4,787.15,0.011
Carbonate-linked,80,373,819.52,0.17,4.29,-27721.12,5.93E-02,1.30E-03,5.93E-07,1.30E-08,1.00E-08,1.30E+00,3.69,0.56,100,6.2,6.20E-09,2.38E-25,1.94E+05,1.94E+02,113.8638085,1.70E+00,284.002322,272.856622,1.040848193,1182,267.4,802.32,0.01
Ester-linked,20,373,844.73,0.91,1.82,-14524.68,5.10E-01,4.40E-03,5.10E-06,4.40E-08,2.57E-07,1.71E-01,44.39,0.1,200,5.39,5.39E-09,1.57E-25,1.54E+05,1.54E+02,112.6904398,1.37E+00,120.114522,97.651922,1.230027219,366,273.6,820.67,0.013
Ester-linked,40,373,831.76,0.43,2.78,-10888.99,2.15E-01,5.70E-03,2.15E-06,5.70E-08,7.30E-08,7.81E-01,73.48,0.13,100,5.16,5.16E-09,1.37E-25,1.32E+05,1.32E+02,111.2142288,1.19E+00,185.471022,169.959722,1.091264564,646,272.2,816.62,0.014
